,Time,variable,value
107,7,Variable B,1.8200000000000003
108,8,Variable B,1.8600000000000003
109,9,Variable B,1.9000000000000004
110,10,Variable B,1.9400000000000004
111,11,Variable B,1.9800000000000004
112,12,Variable B,2.0200000000000005
113,13,Variable B,2.0600000000000005
114,14,Variable B,2.1000000000000005
115,15,Variable B,2.1400000000000006
116,16,Variable B,2.1800000000000006
117,17,Variable B,2.2200000000000006
118,18,Variable B,2.2600000000000007
119,19,Variable B,2.3000000000000007
120,20,Variable B,2.3400000000000007
121,21,Variable B,2.380000000000001
122,22,Variable B,2.420000000000001
123,23,Variable B,2.460000000000001
124,24,Variable B,2.500000000000001
125,25,Variable B,2.540000000000001
126,26,Variable B,2.580000000000001
127,27,Variable B,2.620000000000001
128,28,Variable B,2.660000000000001
129,29,Variable B,2.700000000000001
130,30,Variable B,2.740000000000001
131,31,Variable B,2.780000000000001
132,32,Variable B,2.820000000000001
133,33,Variable B,2.860000000000001
134,34,Variable B,2.9000000000000012
135,35,Variable B,2.9400000000000013
136,36,Variable B,2.9800000000000013
137,37,Variable B,3.0200000000000014
138,38,Variable B,3.0600000000000014
139,39,Variable B,3.1000000000000014
140,40,Variable B,3.1400000000000015
141,41,Variable B,3.1800000000000015
142,42,Variable B,3.2200000000000015
143,43,Variable B,3.2600000000000016
144,44,Variable B,3.3000000000000016
145,45,Variable B,3.3400000000000016
146,46,Variable B,3.3800000000000017
147,47,Variable B,3.4200000000000017
148,48,Variable B,3.4600000000000017
149,49,Variable B,3.5000000000000018
150,50,Variable B,3.540000000000002
151,51,Variable B,3.580000000000002
152,52,Variable B,3.620000000000002
153,53,Variable B,3.660000000000002
154,54,Variable B,3.700000000000002
155,55,Variable B,3.740000000000002
156,56,Variable B,3.780000000000002
157,57,Variable B,3.820000000000002
158,58,Variable B,3.860000000000002
159,59,Variable B,3.900000000000002
160,60,Variable B,3.940000000000002
161,61,Variable B,3.980000000000002
162,62,Variable B,4.020000000000002
163,63,Variable B,4.060000000000002
164,64,Variable B,4.100000000000002
165,65,Variable B,4.140000000000002
166,66,Variable B,4.180000000000002
167,67,Variable B,4.220000000000002
168,68,Variable B,4.2600000000000025
169,69,Variable B,4.3000000000000025
170,70,Variable B,4.3400000000000025
171,71,Variable B,4.380000000000003
172,72,Variable B,4.420000000000003
173,73,Variable B,4.460000000000003
174,74,Variable B,4.500000000000003
175,75,Variable B,4.540000000000003
176,76,Variable B,4.580000000000003
177,77,Variable B,4.620000000000003
178,78,Variable B,4.660000000000003
179,79,Variable B,4.700000000000003
180,80,Variable B,4.740000000000003
181,81,Variable B,4.780000000000003
182,82,Variable B,4.820000000000003
183,83,Variable B,4.860000000000003
184,84,Variable B,4.900000000000003
185,85,Variable B,4.940000000000003
186,86,Variable B,4.980000000000003
187,87,Variable B,5.020000000000003
188,88,Variable B,5.060000000000003
189,89,Variable B,5.100000000000003
190,90,Variable B,5.140000000000003
191,91,Variable B,5.180000000000003
192,92,Variable B,5.220000000000003
193,93,Variable B,5.260000000000003
194,94,Variable B,5.300000000000003
195,95,Variable B,5.340000000000003
196,96,Variable B,5.3800000000000034
197,97,Variable B,5.4200000000000035
198,98,Variable B,5.4600000000000035
199,99,Variable B,5.5000000000000036
