,Time,variable,value
76,76,Variable A,4.164427530289429
77,77,Variable A,4.384505936519723
78,78,Variable A,4.312175863739784
79,79,Variable A,3.876649706755539
80,80,Variable A,3.520539731935396
81,81,Variable A,3.3894043339867976
82,82,Variable A,2.934551278442833
83,83,Variable A,2.9397894105362763
84,84,Variable A,2.745910634157478
85,85,Variable A,3.239532760388233
86,86,Variable A,2.809299993568475
87,87,Variable A,2.77738204021152
88,88,Variable A,3.1879238644847914
89,89,Variable A,2.944890547652781
90,90,Variable A,3.059069105217217
91,91,Variable A,3.0857101501247106
92,92,Variable A,2.712002014725755
93,93,Variable A,2.3053149603702425
94,94,Variable A,1.9257937569395491
95,95,Variable A,1.549603487067745
96,96,Variable A,1.0938761978302156
97,97,Variable A,1.418222157632776
98,98,Variable A,1.6909455043942936
99,99,Variable A,1.9340519042915143
100,0,Variable B,5.3718518182370865
101,1,Variable B,5.302122870158137
102,2,Variable B,5.238268219682832
103,3,Variable B,5.145745296305803
104,4,Variable B,5.5442182010535035
105,5,Variable B,5.645118751376776
106,6,Variable B,5.470240788057627
107,7,Variable B,5.649870996473571
108,8,Variable B,5.640943586321987
109,9,Variable B,5.686579014103585
110,10,Variable B,5.997531579861764
111,11,Variable B,6.020104627905927
112,12,Variable B,6.003426668311234
113,13,Variable B,5.9046393486421005
114,14,Variable B,5.777240106092058
115,15,Variable B,5.886822868234673
116,16,Variable B,5.6036621650343355
117,17,Variable B,5.762172065967572
118,18,Variable B,6.180064721852147
119,19,Variable B,6.123741321091296
120,20,Variable B,6.057134098589909
121,21,Variable B,6.101427898474148
122,22,Variable B,6.056690183061
123,23,Variable B,5.906605605590007
124,24,Variable B,5.656783896631534
125,25,Variable B,5.811792172729165
126,26,Variable B,5.696451678090141
127,27,Variable B,5.67548243087045
128,28,Variable B,5.506380946058257
129,29,Variable B,5.674733957145758
130,30,Variable B,5.671844052316631
131,31,Variable B,5.756671737498277
132,32,Variable B,5.72906200851988
133,33,Variable B,5.760127094030319
134,34,Variable B,5.707199645609675
135,35,Variable B,5.457260577995044
136,36,Variable B,5.771829871313941
137,37,Variable B,5.71393840027826
138,38,Variable B,5.761023113084221
139,39,Variable B,5.813384680632636
140,40,Variable B,5.781911076426478
141,41,Variable B,5.903251361711054
142,42,Variable B,5.966868028957256
143,43,Variable B,6.107315847862194
144,44,Variable B,5.924736975283314
145,45,Variable B,5.880729632751602
146,46,Variable B,5.952071146541781
147,47,Variable B,6.052780979975651
148,48,Variable B,6.109220578106162
149,49,Variable B,6.305905882604005
150,50,Variable B,5.98879684653445
151,51,Variable B,5.94793361282222
152,52,Variable B,6.2752639178913014
153,53,Variable B,6.411963411583164
154,54,Variable B,6.401766329919512
155,55,Variable B,6.649876792498051
156,56,Variable B,6.950152491041948
157,57,Variable B,7.028966053716406
158,58,Variable B,6.886162483119019
159,59,Variable B,7.198170560398062
160,60,Variable B,7.1468892652608655
161,61,Variable B,6.866577928121623
162,62,Variable B,6.924724799337494
163,63,Variable B,6.993354002671261
164,64,Variable B,6.974288614833934
165,65,Variable B,6.7813509157737055
166,66,Variable B,6.4778171442993076
167,67,Variable B,6.545668926445638
168,68,Variable B,6.567245556803918
169,69,Variable B,6.771299369056552
170,70,Variable B,6.707963716600142
171,71,Variable B,6.824821046939449
172,72,Variable B,6.915624663201217
173,73,Variable B,6.927936002651376
174,74,Variable B,6.92824709929298
175,75,Variable B,6.771710282097712
176,76,Variable B,7.137031174740095
177,77,Variable B,7.113677908280248
178,78,Variable B,7.132045272819114
179,79,Variable B,7.460006881207529
180,80,Variable B,7.593515720131748
181,81,Variable B,7.609267793436957
182,82,Variable B,7.708758641649693
183,83,Variable B,7.702289183846928
184,84,Variable B,7.85500362617892
185,85,Variable B,7.479209247314104
186,86,Variable B,7.871697698225176
187,87,Variable B,7.921308579485932
188,88,Variable B,7.555669288342611
189,89,Variable B,7.553715897688692
190,90,Variable B,7.490163919003093
191,91,Variable B,7.480684598418275
192,92,Variable B,7.682346548531826
193,93,Variable B,7.815754592505555
194,94,Variable B,7.995825920059974
195,95,Variable B,7.9958474255561915
196,96,Variable B,8.10489055834268
197,97,Variable B,7.891257873205465
198,98,Variable B,7.644268918967573
199,99,Variable B,7.530160272809645
